Disease
38
20
1
28
22
29
31
18
6
40
9
41
36
29
8
16
26
9
22
17
39
34
3
16
15
35
27
21
26
18
39
34
12
10
17
20
25
37
30
1
36
10
11
4
34
20
35
35
23
39
17
13
20
7
29
38
5
2
40
10
0
19
23
15
31
39
21
21
13
18
24
2
22
34
40
29
31
35
41
37
28
41
12
8
34
17
18
23
19
38
4
27
28
6
27
2
20
31
33
37
41
28
17
5
12
28
25
8
31
39
0
29
13
29
26
12
5
23
34
7
27
2
16
40
19
34
20
36
12
28
37
24
18
8
2
8
27
8
24
18
5
40
2
26
38
20
1
39
20
2
0
17
37
23
0
15
11
22
6
5
31
17
33
23
23
17
8
5
1
26
28
16
9
27
19
31
29
11
38
12
9
21
15
36
21
9
4
17
7
3
33
5
26
11
23
27
1
19
25
9
31
33
12
15
1
24
33
25
40
6
38
27
41
19
10
4
26
18
17
11
0
17
39
13
10
10
1
13
0
12
30
3
15
20
23
29
3
3
35
32
33
25
40
36
10
21
20
27
26
11
35
18
32
24
0
9
35
26
26
0
25
25
13
2
19
39
22
9
38
5
28
8
7
29
38
32
32
38
3
22
32
41
3
13
17
37
28
30
21
4
1
36
23
31
38
19
9
0
22
5
27
25
23
5
35
33
33
38
2
20
4
0
0
25
23
12
8
40
30
20
18
38
2
22
35
36
20
22
8
29
18
36
23
30
23
27
25
2
34
13
38
15
16
11
30
4
11
12
21
0
7
35
9
7
7
13
16
12
22
0
2
9
8
25
22
5
1
3
8
15
28
40
20
19
19
26
19
9
8
32
20
5
40
23
26
22
33
28
37
38
15
32
40
18
34
25
24
40
19
12
5
21
35
33
22
25
35
17
27
20
6
7
32
17
17
6
38
4
11
2
11
35
16
18
23
40
6
11
38
29
31
25
17
20
21
10
33
24
29
3
25
33
15
17
21
19
29
9
11
16
32
11
2
36
34
12
37
1
10
37
21
25
26
40
23
28
39
24
8
18
40
22
2
2
26
31
7
10
8
11
0
26
34
12
13
21
16
34
10
27
11
35
35
6
20
18
5
13
25
19
13
36
16
6
12
25
34
26
10
39
23
25
37
11
3
11
40
2
1
0
37
18
8
23
40
22
30
4
10
15
19
23
20
8
33
3
35
9
37
33
38
41
0
15
39
24
8
35
34
3
32
10
40
19
1
11
23
29
16
6
7
13
29
31
11
16
24
16
35
6
33
30
5
15
27
18
16
6
34
19
4
5
33
19
25
38
39
7
11
2
5
22
27
31
10
38
38
7
11
40
26
29
1
13
0
5
19
36
18
24
25
41
15
34
12
39
0
27
2
9
35
6
38
32
8
39
7
24
37
29
18
7
27
5
17
37
37
24
5
7
21
13
9
0
22
24
21
6
38
6
37
35
28
38
9
25
25
32
17
15
24
28
10
35
38
18
30
11
23
28
4
27
36
25
28
16
1
16
31
17
18
10
41
40
18
41
24
28
37
25
12
35
36
26
30
41
3
17
36
28
4
34
10
15
39
8
29
40
23
35
13
39
38
12
6
22
40
36
8
16
5
17
24
10
16
35
13
37
19
3
39
28
7
31
33
12
11
20
7
26
3
8
40
9
28
2
3
34
9
16
0
33
36
3
11
1
23
37
27
16
29
34
10
28
3
10
5
36
